AVANCE DE INCENDIOS FORESTALES DE TODAS LAS PROVINCIAS DE CASTILLA Y LEÓN EN EL DIA 30 DE SEPTIEMBRE DE 2017 A LAS 19:00 HORAS;;;;;;;
PROVINCIA;CAUSA PROBABLE;TÉRMINO MUNICIPAL;NIVEL;HORA INICIO;MEDIOS DE EXTINCIÓN;SITUACIÓN ACTUAL;TIPO Y HAS DE SUPERFICIE AFECTADA
ÁVILA;POR DETERMINAR;CABEZABELLOSA (CACERES);0;17:00;HT-EL BARCO DE AVILA, 1 ELIF;ACTIVO;EN PERIMETRACIÓN
BURGOS;INTENCIONADO;NUEZ DE ARRIBA (LA)(URBEL DEL CASTILLO);0;20:39 (29-09-2017);1 A.M., 1 AUTOBOMBAS, 1 CUADRILLAS DE TIERRA;EXTINGUIDO (18:30);FORESTAL:MATORRAL: 4,60 HA.,
LEÓN;POR DETERMINAR;VALVERDE-VILLARMARIN(BALBOA);0;8:50;3 A.M., HT-CUETO, 2HT-TABUYO, 1 ELIF, 1 BRIF, 1 BULLDOZER, 1 AUTOBOMBAS, 2 CUADRILLAS DE TIERRA;ACTIVO;EN PERIMETRACIÓN
LEÓN;POR DETERMINAR;VALTUILLE DE ABAJO(VILLAFRANCA DEL BIERZO);0;12:00;1 A.M., 1 AUTOBOMBAS;EXTINGUIDO (13:00);OTRAS: 0,35 HA.,
LEÓN;REPRODUCIDO;CASCANTES(CUADROS);0;12:27 (27-09-2017);1 A.M.;EXTINGUIDO (17:30);FORESTAL:ARBOLADO: 0,80 HA. CHOPOS,
LEÓN;INTENCIONADO;IREDE DE LUNA(BARRIOS DE LUNA (LOS));0;21:56 (28-09-2017);2 A.M., 2 AUTOBOMBAS, 2 CUADRILLAS DE TIERRA;CONTROLADO (18:00);EN PERIMETRACIÓN
PALENCIA;;SIN INCIDENCIAS;;;;;
SALAMANCA;;SIN INCIDENCIAS;;;;;
SEGOVIA;INTENCIONADO;NAVALILLA;0;12:55;1 A.M., HT-COCA, 1 ELIF, 1 AUTOBOMBAS, 1 CUADRILLAS DE TIERRA;EXTINGUIDO (13:53);AGRICOLA: 0.01 HA.,
SEGOVIA;POR DETERMINAR;VILLACASTIN;0;17:50;2 A.M., HT-COCA, HT-CEBREROS, 2 ELIF, 2 AUTOBOMBAS, 1 CUADRILLAS DE TIERRA;ACTIVO;EN PERIMETRACIÓN
SORIA;POR DETERMINAR;BERLANGA DE DUERO;0;13:00;1 A.M., 1 AUTOBOMBAS, 1 CUADRILLAS DE TIERRA;EXTINGUIDO (14:30);OTRAS: 0.01 HA.,
SORIA;POR DETERMINAR;ROYO (EL);0;14:06;2 A.M., 1 AUTOBOMBAS;EXTINGUIDO (15:00);OTRAS: 0.01 HA.,
VALLADOLID;;SIN INCIDENCIAS;;;;;
ZAMORA;POR DETERMINAR;HEDROSO(LUBIAN);1;15:15 (28-09-2017);1 TÉCNICOS, 3 A.M., HT-ROSINOS, HOTEL, HT-GUADRAMIRO, HT-VILLAELES, HT-VILLARDECIERVOS, 2HT-LAZA, 6 ELIF, 2 BRIF, 1 BULLDOZER, 2 AUTOBOMBAS, 3 CUADRILLAS DE TIERRA;ACTIVO;EN PERIMETRACIÓN
